Rank[a],Title,Production Company,Distributor,Worldwide Gross,Ref.,Year,Table_Number,Opening,Opening.1,Director,Cast,Studio (production house)
1.0,Chhaava,Maddock Films,Pen MarudharYash Raj Films,₹783–807.40 crore,[b][6],2025,1,,,,,
2.0,Raid 2,T-Series FilmsPanorama Studios,PVR Inox PicturesPanorama Studios,₹219–238.33 crore,[7][8][6],2025,1,,,,,
3.0,Sikandar,Nadiadwala Grandson EntertainmentSalman Khan Films,Pen Marudhar,₹176.18–177 crore,[9][10][6],2025,1,,,,,
4.0,Sky Force,Jio StudiosMaddock FilmsLeo Films UK Production,PVR Inox Pictures,₹144–168.88 crore,[11][12][6],2025,1,,,,,
5.0,Kesari Chapter 2,Dharma ProductionsLeo Media CollectiveCape of Good Films,Dharma Productions,₹142–144.35 crore,[13][14][6],2025,1,,,,,
6.0,Jaat,Mythri Movie MakersPeople Media FactoryZee Studios,AA Films Zee Studios,₹112–119.24 crore,[15][16][6],2025,1,,,,,
7.0,Bhool Chuk Maaf,Amazon MGM StudiosMaddock Films,PVR Inox PicturesPen MarudharYash Raj Films,₹84.05 crore,[17][6],2025,1,,,,,
8.0,Housefull 5,Nadiadwala Grandson Entertainment,Pen Marudhar,₹78.26 crore,[18][6],2025,1,,,,,
9.0,The Diplomat,T-Series FilmsJA EntertainmentWakaoo FilmsSeeta FilmsFortune Pictures,Panorama Studios,₹53–53.14 crore,[19][6][20],2025,1,,,,,
10.0,Deva,Zee StudiosRoy Kapur Films,Zee Studios,₹51.73–59 crore,[21][22][6],2025,1,,,,,
,The Rabbit House,,,,[23],2025,2,J A N,3.0,Vaibhav Kulkarni,"Amit RiyaanKarishmaPadmanabh, Gagan PradeepPreeti SharmaSuresh Kumbhar",Geetai Productions
,Fateh,,,,[24],2025,2,J A N,10.0,Sonu Sood,Sonu SoodNaseeruddin ShahJacqueline Fernandez,"Zee Studios, Shakti Sagar Productions"
,Match Fixing,,,,[25],2025,2,J A N,10.0,Kedar Gaekwad,Vineet Kumar SinghRaj ArjunShataf FigarAnuja Sathe,Artarena Creations
,Emergency,,,,[26],2025,2,J A N,17.0,Kangana Ranaut,Kangana RanautAnupam KherShreyas TalpadeMahima ChaudhryMilind SomanSatish Kaushik,"Zee Studios, Manikarnika Films"
,Azaad,,,,[27],2025,2,J A N,17.0,Abhishek Kapoor,Ajay DevgnDiana PentyAaman DevganRasha ThadaniMohit MalikPiyush Mishra,"RSVP Movies, Guy In The Sky Pictures"
,Mission Grey House,,,,[28],2025,2,J A N,17.0,Naushad Siddiqui,Abeer KhanPuja SharmaRajesh SharmaKiran KumarNikhat KhanKamlesh SawantRaza Murad,"Reliance Entertainment, Rafat Films Entertainment"
,Hisaab Barabar,,,,[29],2025,2,J A N,24.0,Ashwni Dhir,R. MadhavanNeil Nitin MukeshKirti KulhariRashami Desai,"Jio Studios, SP Cinecorp Production, ZEE5"
,Sky Force,,,,[30],2025,2,J A N,24.0,Sandeep KewlaniAbhishek Anil Kapur,Akshay KumarVeer PahariyaSara Ali KhanNimrat Kaur,"Jio Studios, Maddock Films"
,Sweet Dreams,,,,[31],2025,2,J A N,24.0,Victor Mukherjee,Amol ParasharMithila Palkar,"Jio Studios, Mango People Media, Disney+Hotstar"
,The Storyteller,,,,[32],2025,2,J A N,28.0,Anant Mahadevan,Paresh RawalAdil HussainRevathiTannishtha Chatterjee,"Jio Studios, Purpose Entertainment, Quest Films, Disney+Hotstar"
,Deva,,,,[33],2025,2,J A N,31.0,Rosshan Andrrews,Shahid KapoorPooja Hegde,"Zee Studios, Roy Kapur Films"
,Loveyapa,,,,[34],2025,2,F E B,7.0,Advait Chandan,Junaid KhanKhushi Kapoor,"Zee Studios, Phantom Studios, AGS Entertainment"
,Badass Ravi Kumar,,,,[35],2025,2,F E B,7.0,Keith Gomes,Himesh ReshammiyaPrabhu DevaKirti KulhariSonia KapoorRajesh SharmaJohny LeverNavneet NishanManish WadhwaSanjay MishraAnil George,Himesh Reshammiya Melodies
,Mrs.,,,,[36],2025,2,F E B,7.0,Aarti Kadav,Sanya MalhotraNishant DahiyaKanwaljit Singh,"Jio Studios, Baweja Studios, ZEE5"
,The Mehta Boys,,,,[37],2025,2,F E B,7.0,Boman Irani,Boman IraniAvinash Tiwary,"Irani Movietone, Chalkboard Entertainment, Amazon Prime Video"
,Bobby Aur Rishi Ki Love Story,,,,[38],2025,2,F E B,11.0,Kunal Kohli,Vardhan PuriKaveri Kapur,"Jio Studios, The Production Headquarters, The Indian Scion Production, Disney+Hotstar"
,Chhaava,,,,[39],2025,2,F E B,14.0,Laxman Utekar,Vicky KaushalRashmika MandannaAkshaye Khanna,Maddock Films
,Dhoom Dhaam,,,,[40],2025,2,F E B,14.0,Rishab Seth,Pratik GandhiYami Gautam,"Jio Studios, B62 Studios, Netflix"
,Mere Husband Ki Biwi,,,,[41],2025,2,F E B,21.0,Mudassar Aziz,Arjun KapoorRakul Preet SinghBhumi Pednekar,Pooja Entertainment
,Kaushaljis vs Kaushal,,,,[42],2025,2,F E B,21.0,Seemaa Desai,Ashutosh RanaSheeba ChadhaIsha TalwarPavail Gulati,"Jio Studios, Merry Go Round Studios, Mumbai Talkeez, JioHostar"
,Shaila,,,,[43],2025,2,F E B,28.0,Saki Shah,Rohit ChaudharySara KhanSonam AroraAadhvikaaDurvesh RameshwaramHussain KhanKetan Raj Sharma,"Reliance Entertainment, Riyom Films"
,Crazxy,,,,[44],2025,2,F E B,28.0,Girish Kohli,Sohum Shah,Sohum Shah Films
,Superboys of Malegaon,,,,[45],2025,2,F E B,28.0,Reema Kagti,Adarsh GouravVineet Kumar SinghShashank AroraAnuj Singh Duhan,"Amazon MGM Studios, Excel Entertainment, Tiger Baby Films"
,Dil Dosti Aur Dogs,,,,[46],2025,2,F E B,28.0,Viral Shah,Neena GuptaMasumeh MakhijaSharad KelkarKunaal Roy KapurKeerti Gaekwad KelkarTinu AnandEhan BhatTridha Choudhury,"Jio Studios, The Creative Tribe, Jio Hotstar"
,Nadaaniyan,,,,[47],2025,2,M A R,7.0,Shauna Gautam,Ibrahim Ali KhanKhushi KapoorMahima ChaudhrySuniel ShettyDia MirzaJugal Hansraj,"Dharmatic Entertainment, Netflix"
,The Diplomat,,,,[48],2025,2,M A R,14.0,Shivam Nair,John AbrahamSadia KhateebRevathyKumud Mishra,"T-Series Films, JA Entertainment, Wakaoo Films, Fortune Pictures"
,My Melbourne,,,,[49][50],2025,2,M A R,14.0,Kabir KhanRima DasOnirImtiaz Ali,Ryanna SkyeKat StewartJake RyanArushi SharmaJackson GallagherArka Das,"Screen Australia, VicScreen, Mind Blowing Entertainment, Mind Blowing World, Soundfirm Post Production"
,Be Happy,,,,[51],2025,2,M A R,14.0,Remo D'Souza,Abhishek BachchanNora FatehiNassarInayat VermaJohnny LeverHarleen Sethi,"Remo D'Souza Entertainment, Amazon Prime Video"
,Inn Galiyon Mein,,,,[52],2025,2,M A R,14.0,Avinash Das,Vivaan ShahAvantika DassaniJaved Jaffrey,Yadunath Films
,Aachari Baa,,,,[53],2025,2,M A R,14.0,Hardik Gajjar,Neena GuptaVatsal ShethApoorva AroraKabir Bedi,"Hardik Gajjar Films, Backbencher Pictures, Jio Studios"
,Baida,,,,[54],2025,2,M A R,21.0,Puneet Sharma,Sudhanshu RaiManisha RaiShobhit Sujay,MNM Entertainment
,Tumko Meri Kasam,,,,[55],2025,2,M A R,21.0,Vikram Bhatt,Anupam KherIshwak SinghAdah SharmaEsha Deol,Indira Entertainment
,Pintu Ki Pappi,,,,[56],2025,2,M A R,21.0,Shiv Hare,ShushantJaanyaa JoshiVidhiiGanesh AcharyaMurali SharmaVijay Raaz,"V2S Production & Entertainment, Mythri Movie Makers"
,Sikandar,,,,[57][58],2025,2,M A R,30.0,AR Murugadoss,Salman KhanKajal AggarwalRashmika MandannaSathyarajPrateik Babbar,"Nadiadwala Grandson Entertainment, Salman Khan Films"
,Jaat,,,,[59],2025,3,A P R,10.0,Gopichand Malineni,Sunny DeolRandeep HoodaSaiyami Kher,"Mythri Movie Makers, People Media Factory"
,Chhorii 2,,,,[60],2025,3,A P R,11.0,Vishal Furia,Nushrratt BharucchaSoha Ali KhanGashmeer MahajaniSaurabh GoyalPallavi AjayKuldeep SareenHardika Sharma,"T-Series Films, Abundantia Entertainment, A Pshych Film, Tamarisk Lane Production, Amazon Prime Video"
,Kesari Chapter 2,,,,[61],2025,3,A P R,18.0,Karan Singh Tyagi,Akshay KumarR. MadhavanAnanya Panday,"Dharma Productions, Cape Of Good Films, Leo Media Collective"
,Logout,,,,[62],2025,3,A P R,18.0,Amit Golani,Babil KhanRasika DugalGandharv DewanNimisha Nair,"Viacom18 Studios, ZEE5"
,Ground Zero,,,,[63],2025,3,A P R,25.0,Tejas Prabha Vijay Deoskar,Emraan HashmiSai TamhankarZoya HussainMukesh TiwariLalit Prabhakar,Excel Entertainment
,Jewel Thief – The Heist Begins,,,,[64],2025,3,A P R,25.0,Kookie GulatiRobbie Garewal,Saif Ali KhanJaideep AhlawatNikita DuttaKunal Kapoor,"Marflix Pictures, Netflix"
,Phule,,,,[65],2025,3,A P R,25.0,Anant Mahadevan,Pratik GandhiPatralekha,"Zee Studios, Dancing Shiva Films, Kingsmen Productions"
,Oye Bhootni Ke,,,,[66],2025,3,A P R,25.0,Ajay Kailash Yadav,Mahaakshay ChakrabortyNikita SharmaDiana KhanAshoka ThackurChahat Mughal,"Sahatyam Films, Vision Motion Films"
,Raid 2,,,,[67],2025,3,M A Y,1.0,Raj Kumar Gupta,Ajay DevgnRiteish DeshmukhVaani Kapoor,"T-Series Films, Panorama Studios"
,The Bhootnii,,,,[68],2025,3,M A Y,1.0,Sidhaant Sachdev,Sanjay DuttMouni RoySunny SinghPalak TiwariBeyounickAasif Khan,"Soham Rockstar Entertainment, Three Dimension Motion Pictures"
,Costao,,,,[69],2025,3,M A Y,1.0,Sejal Shah,Nawazuddin SiddiquiPriya BapatKishore Kumar GGagan Dev Riar,"Bhanushali Studios Limited, Bombay Fables, ZEE5"
,The Networker,,,,[70],2025,3,M A Y,2.0,Vikas Kumar Vishwakarma,Vikram KochharDurgesh KumarIshtiyak KhanRishabh PathakBrijendra KalaVindhya TiwariNikhat Khan,"Gutargoo Entertainment, Navritu Films"
,Romeo S3,,,,[71],2025,3,M A Y,16.0,Guddu Dhanoa,Thakur Anoop SinghPalak Tiwari,Pen Studios
,Bhool Chuk Maaf,,,,[72],2025,3,M A Y,23.0,Karan Sharma,Rajkummar RaoWamiqa Gabbi,"Amazon MGM Studios, Maddock Films"
,Kapkapiii,,,,[73],2025,3,M A Y,23.0,Sangeeth Sivan,Tusshar KapoorShreyas TalpadeJay ThakkarSiddhi Idnani,"Bravo Entertainment banner, Zee Studios"
,Pune Highway,,,,[74],2025,3,M A Y,23.0,Rahul da CunhaBugs Bhargava Krishna,Jim SarbhAmit SadhManjari FadnisKetaki Narayan,"Drop D Films,Ten Years Younger Productions"
,Kesari Veer,,,,[75],2025,3,M A Y,23.0,Prince Dhiman,Suniel ShettyVivek OberoiSooraj PancholiAkansha Sharma,Chauhan Studios
,Chidiya,,,,[76],2025,3,M A Y,30.0,Mehran Amrohi,Vinay PathakAmruta Subhash Svar KambleAyush Pathak,"Smiley Films, Key Media Works"
,Interrogation,,,,[77],2025,3,M A Y,30.0,Ajoy Varma Raja,Manu SinghRajpal Yadav Darshan JariwalaYashpal SharmGirish Kulkarni,"Aryan Brothers Entertainment Film, Naam Mein Kya Rakha Hai Production, ZEE5"
,Stolen,,,,[78],2025,3,J U N,4.0,Karan Tejpal,Abhishek BanerjeeHarish KhannaMia MaelzerSahidur RahamanShubham Vardhan,"Jungle Book Studio, Amazon Prime Video"
,Housefull 5,,,,[79][80],2025,3,J U N,6.0,Tarun Mansukhani,Akshay KumarRiteish DeshmukhSanjay DuttAbhishek BachchanNana PatekarFardeen KhanDino MoreaChunky PandeyJackie ShroffNikitin DheerShreyas TalpadeRanjeetJohnny LeverJacqueline FernandezNargis FakhriSonam BajwaChitrangda SinghSoundarya Sharma,Nadiadwala Grandson Entertainment
,Sitaare Zameen Par,,,,[81],2025,3,J U N,20.0,R. S. Prasanna,Aamir KhanGenelia Deshmukh,"Sony Pictures International Productions, Columbia Pictures, Aamir Khan Productions"
,Kuberaa,,,,[82],2025,3,J U N,20.0,Sekhar Kammula,DhanushRashmika MandannaNagarjunaJim SarbhDalip Tahil,"Sri Venkateswara Cinemas LLP, Amigos Creations"
,Detective Sherdil,,,,[83],2025,3,J U N,20.0,Ravi Chhabriya,Diljit DosanjhDiana PentyBoman IraniChunky PandayRatna Pathak ShahBanita SandhuSumeet Vyas,"AAZ Films, Offside Entertainment, Maurya Entertainment, ZEE5"
,Maa,,,,[84],2025,3,J U N,27.0,Vishal Furia,KajolRonit RoyIndraneil SenguptaKherin Sharma,"Jio Studios, Devgn Films"
,Gyanvapi Files,,,,[85],2025,3,J U N,27.0,Bharat Shrinate,Vijay RaazRajneesh Duggal,Jani Firefox Films
,Nikita Roy,,,,[86],2025,3,J U N,27.0,Kussh Sinha,Sonakshi SinhaArjun RampalParesh RawalSuhail Nayyar,"Nicky Vicky Bhagnani Films, Kratos Entertainment, Nikita Pai Films"
,,,,,,2025,3,J U N,,,,
,Metro... In Dino,,,,[87],2025,4,J U L,4.0,Anurag Basu,Aditya Roy KapurSara Ali KhanAnupam KherNeena GuptaPankaj TripathiKonkona Sen SharmaAli FazalFatima Sana Shaikh,"T-Series Films, Anurag Basu Productions"
,Maalik,,,,[88],2025,4,J U L,11.0,Pulkit,Rajkummar RaoManushi ChhillarMedha ShankrPrasenjit Chatterjee,"Tips Industries, Northern Lights Films"
,Aankhon Ki Gustaakhiyan,,,,[89],2025,4,J U L,11.0,Santosh Singh,Vikrant MasseyShanaya Kapoor,"Zee Studios, Mini Films"
,Saiyaara,,,,[90],2025,4,J U L,18.0,Mohit Suri,Ahaan PandayAneet Padda,Yash Raj Films
,Tanvi the Great,,,,[91],2025,4,J U L,18.0,Anupam Kher,Anupam KherShubhangi DuttIain GlenBoman IraniJackie ShroffArvind SwamiPallavi JoshiKaran TackerNassar,"Anupam Kher Studio, NFDC"
,Param Sundari,,,,[92],2025,4,J U L,25.0,Tushar Jalota,Sidharth MalhotraJanhvi Kapoor,Maddock Films
,Dhadak 2,,,,[93],2025,4,A U G,1.0,Shazia Iqbal,Siddhant ChaturvediTriptii Dimri,"Dharma Productions, Zee Studios"
,War 2,,,,[94][95],2025,4,A U G,14.0,Ayan Mukerji,Hrithik RoshanN. T. Rama Rao Jr.Kiara Advani,Yash Raj Films
,The Delhi Files,,,,[96],2025,4,A U G,15.0,Vivek Agnihotri,Mithun ChakrabortyAnupam KherPuneet IssarGovind NamdevBabbu MaanPallavi JoshiPalomi Ghosh,"Abhishek Agarwal Arts, I Am Buddha"
,Baaghi 4,,,,[97],2025,4,S E P,5.0,A. Harsha,Tiger ShroffSanjay DuttSonam BajwaHarnaaz Sandhu,Nadiadwala Grandson Entertainment
,Sunny Sanskari Ki Tulsi Kumari,,,,[98],2025,4,S E P,12.0,Shashank Khaitan,Varun DhawanJanhvi KapoorSanya MalhotraRohit Saraf,"Dharma Productions, Mentor Disciple Entertainment"
,Jolly LLB 3,,,,[99],2025,4,S E P,19.0,Subhash Kapoor,Akshay KumarArshad WarsiHuma QureshiAmrita RaoSaurabh ShuklaAnnu Kapoor,"Star Studios, Kangra Talkies"
,Haunted 3D: Ghosts Of The Past,,,,[100],2025,4,S E P,26.0,Vikram Bhatt,Mahaakshay ChakrabortyChetna Pande,Anand Pandit Motion Pictures
,Ikkis,,,,[101],2025,5,O C T,2.0,Sriram Raghavan,DharmendraAgastya NandaJaideep AhlawatSimar Bhatia,Maddock Films
,Ek Deewane ki Deewaniyat,,,,[102],2025,5,O C T,2.0,Milap Zaveri,Harshvardhan RaneSonam Bajwa,"Desi Movies Factory, Play DMF"
,Thama,,,,[103],2025,5,O C T,17.0,Aditya Sarpotdar,Ayushmann KhurranaRashmika MandannaNawazuddin SiddiquiParesh Rawal,Maddock Films
,Untitled film,,,,[104],2025,5,O C T,17.0,Anurag Basu,Kartik AaryanSreeleela,T-Series Films
,De De Pyaar De 2,,,,[105],2025,5,N O V,14.0,Anshul Sharma,Ajay DevgnR. MadhavanRakul Preet Singh,"T-Series Films, Luv Films"
,120 Bahadur,,,,[106],2025,5,N O V,21.0,Razneesh ‘Razy’ Ghai,Farhan Akhtar,"Excel Entertainment, Trigger Happy Studios"
,Tere Ishk Mein,,,,[107],2025,5,N O V,28.0,Aanand L. Rai,DhanushKriti Sanon,"T-Series Films, Colour Yellow Productions"
,Untitled film,,,,[108],2025,5,D E C,5.0,Vishal Bhardwaj,Shahid KapoorRandeep HoodaNana PatekarTriptii Dimri,Nadiadwala Grandson Entertainment
,Alpha,,,,[109],2025,5,D E C,25.0,Shiv Rawail,Alia BhattSharvariAnil KapoorBobby Deol,Yash Raj Films
,Dacoit,,,,[110],2025,5,D E C,25.0,Shaneil Deo,Adivi SeshMrunal Thakur,Annapurna Studios
,Shakti Shalini,,,,[111],2025,5,D E C,31.0,,,Maddock Films
