Title,Year,Summary,Genre
Stree 2,2024,"Stree 2: Sarkate Ka Aatank (transl. Stree 2: Terror of the Headless) is a 2024 Indian Hindi-language comedy horror film directed by Amar Kaushik, written by Niren Bhatt and produced jointly by Maddock Films and Jio Studios.","comedy, horror"
Bhool Bhulaiyaa 3,2024,"Bhool Bhulaiyaa 3 (transl. Labyrinth 3) is a 2024 Indian Hindi-language Horror Comedy film directed by Anees Bazmee, written by Aakash Kaushik, and produced by T-Series Films and Cine1 Studios.","comedy, horror"
Singham Again,2024,"Singham Again is a 2024 Indian Hindi-language action film written and directed by Rohit Shetty, who also co-produced it under Rohit Shetty Picturez, alongside Reliance Entertainment, Jio Studios and Devgn Films.",action
Fighter,2024,"Fighter is a 2024 Indian Hindi-language aerial action film directed by Siddharth Anand, based on a story he wrote with Ramon Chibb.",action
Shaitaan,2024,"Shaitaan (transl. Devil) is a 2024 Indian Hindi-language supernatural horror film directed by Vikas Bahl and produced by Devgn Films, Jio Studios, and Panorama Studios.",horror
Crew,2024,Crew is a 2024 Indian Hindi-language heist comedy film directed by Rajesh A Krishnan and written by Nidhi Mehra and Mehul Suri.,comedy
Teri Baaton Mein Aisa Uljha Jiya,2024,Teri Baaton Mein Aisa Uljha Jiya (transl. Got so entangled in your words) is a 2024 Indian Hindi-language science fiction romantic comedy film starring Shahid Kapoor and Kriti Sanon.,"comedy, romantic, science fiction"
Munjya,2024,"Munjya is a 2024 Indian Hindi-language comedy horror film directed by Aditya Sarpotdar and starring Abhay Verma, Sharvari, Sathyaraj and Mona Singh.","comedy, horror"
Bad Newz,2024,Bad Newz is a 2024 Indian Hindi-language comedy film directed by Anand Tiwari.,"comedy, war"
Article 370,2024,"Article 370 is a 2024 Indian Hindi-language political action thriller film directed by Aditya Suhas Jambhale, who co-wrote the film with Aditya Dhar, Jambhale, Monal Thaakar and Arjun Dhawan.","action, thriller, political"
Tauba Tera Jalwa,2024,Tauba Tera Jalwa is a 2024 Hindi-language romantic comedy film written and directed by Akashaditya Lama and produced by Naresh Bansal and Madanlal Khurana under Shreeram Productions and Victorious Enterprises.,"comedy, romantic"
Merry Christmas,2024,Merry Christmas is a 2024 Indian mystery thriller film directed by Sriram Raghavan and produced by Tips Films together with Matchbox Pictures.,"thriller, mystery"
Main Atal Hoon,2024,Main Atal Hoon (stylised as Main ATAL Hoon) is a 2024 Hindi language biographical film directed by Ravi Jadhav and written by Rishi Virmani.,biographical
Fighter,2024,"Fighter is a 2024 Indian Hindi-language aerial action film directed by Siddharth Anand, based on a story he wrote with Ramon Chibb.",action
Teri Baaton Mein Aisa Uljha Jiya,2024,Teri Baaton Mein Aisa Uljha Jiya (transl. Got so entangled in your words) is a 2024 Indian Hindi-language science fiction romantic comedy film starring Shahid Kapoor and Kriti Sanon.,"comedy, romantic, science fiction"
Bhakshak,2024,Bhakshak (transl. Devourer) is a 2024 Indian Hindi language crime thriller film based on the Muzaffarpur shelter case.,"thriller, crime"
Lantrani,2024,"Lantrani is a 2024 Indian Hindi-language anthology comedy drama directed by Gurvinder Singh, Kaushik Ganguly, and Bhaskar Hazarika and written by Durgesh Singh.","drama, comedy, anthology"
Mirg,2024,Mirg is a 2024 Indian Hindi-language action film directed and written by Tarun Sharma.,action
Dashmi,2024,"Dashmi is 2024 Indian Hindi-language drama thriller film written and directed by Shantanu Anant Tambe and produced by Sarika Vinod Tambe, Bharani Rang, Sanjana Vinod Tambe.","drama, thriller"
Kuch Khattaa Ho Jaay,2024,Kuch Khattaa Ho Jaay (transl. Let's get something sour) is a 2024 Indian Hindi-language romantic comedy directed by G.,"comedy, romantic"
Crakk,2024,Crakk also known as Crakk - Jeetegaa Toh Jiyegaa! is a 2024 Indian Hindi-language sports action film directed by Aditya Datt and produced by Vidyut Jammwal and Abbas Sayyed under Action Hero Films.,"action, sports"
Article 370,2024,"Article 370 is a 2024 Indian Hindi-language political action thriller film directed by Aditya Suhas Jambhale, who co-wrote the film with Aditya Dhar, Jambhale, Monal Thaakar and Arjun Dhawan.","action, thriller, political"
All India Rank,2024,All India Rank is a 2023 Indian Hindi-language coming of age comedy drama film directed and written by Varun Grover and produced by Matchbox Shots.,"drama, comedy"
Chote Nawab,2024,Chote Nawab (transl. Little Prince) is a 2024 Indian Hindi-language drama film directed by Kumud Chaudhary.,drama
Laapataa Ladies,2024,"Laapataa Ladies, released internationally as Lost Ladies, is a 2023 Indian Hindi-language comedy-drama film directed by Kiran Rao, and produced by Rao, Aamir Khan, and Jyoti Deshpande.","drama, comedy"
Dange,2024,Dange (transl. Rioting) / Por (transl. War) is a 2024 Indian action drama film directed by Bejoy Nambiar.,"action, drama, war"
Operation Valentine,2024,"Operation Valentine is a 2024 Indian action drama film based on the 2019 Pulwama Attack and the retaliatory Balakot Air Strikes of 2019 by the Indian Air Force directed by Shakti Pratap Singh Hada, in his directorial debut, and produced by Sony Pictures and Sandeep Mudda, with co-production by God Bless Entertainment and Nandkumar Abbineni.","action, drama"
Kaagaz 2,2024,Kaagaz 2 is a 2024 Indian Hindi language courtroom drama film written and directed by V.,drama
Fairy Folk,2024,"Fairy Folk is a 2024 Hindi-language fantasy drama film written and directed by Karan Gour and produced by Annukampa Harsh, Siddharth Bhatia, Karan Gour, and Tejash Shah.","drama, fantasy"
Shaitaan,2024,"Shaitaan (transl. Devil) is a 2024 Indian Hindi-language supernatural horror film directed by Vikas Bahl and produced by Devgn Films, Jio Studios, and Panorama Studios.",horror
Tera Kya Hoga Lovely,2024,Tera Kya Hoga Lovely is a 2024 Indian Hindi-language social comedy film directed by Balwinder Singh Janjua and produced by Sony Pictures Films India.,comedy
Alpha Beta Gamma,2024,"Alpha Beta Gamma is a 2021 Indian Hindi-language romantic comedy film directed by debutant director Shankar Srikumar and starring Nishan, Amit Kumar Vashisth, and Reena Aggarwal.","comedy, romantic"
Yodha,2024,"Yodha (transl. Warrior) is a 2024 Indian Hindi-language action thriller film directed by Sagar Ambre and Pushkar Ojha, written by Ambre, and produced by Amazon Prime Video, Dharma Productions and Mentor Disciple Entertainment.","action, thriller, war"
Bastar: The Naxal Story,2024,Bastar: The Naxal Story is a 2024 Indian Hindi-language political thriller film directed by Sudipto Sen and produced by Vipul Amrutlal Shah.,"thriller, political"
Murder Mubarak,2024,Murder Mubarak (transl. Congratulations on Murder) is a 2024 Indian Hindi-language mystery thriller film based on the novel Club You To Death written by Anuja Chauhan.,"thriller, mystery"
Ae Watan Mere Watan,2024,"Ae Watan Mere Watan (transl. Oh Country My Country) is a 2024 Hindi-language historical biographical film about India's struggle for freedom in 1942, based on the life of Usha Mehta, a brave young girl who starts an underground radio station to spread the message of unity, setting off a thrilling chase with the British authorities during the Quit India movement.","biographical, historical"
Madgaon Express,2024,"Madgaon Express is a 2024 Hindi-language dark comedy film written and directed by Kunal Khemu, in his directorial debut, and produced by Excel Entertainment.",comedy
Swatantrya Veer Savarkar,2024,Swatantrya Veer Savarkar is a 2024 Indian Hindi-language film on the life of Vinayak Damodar Savarkar.,Unknown
Crew,2024,Crew is a 2024 Indian Hindi-language heist comedy film directed by Rajesh A Krishnan and written by Nidhi Mehra and Mehul Suri.,comedy
Woh Bhi Din The,2024,"Woh Bhi Din The is a 2024 Hindi-language coming of age romantic comedy film written by Sajid Ali, Saurabh Swamy and directed by Sajid Ali.","comedy, romantic"
Patna Shuklla,2024,Patna Shuklla is a 2024 Indian Hindi-language legal drama film directed by Vivek Budakoti and produced by Arbaaz Khan for Disney+ Hotstar.,drama
Bengal 1947,2024,Bengal 1947: An Untold Love Story is a 2024 Hindi-language romantic drama film written and directed by Akashaditya Lama and produced by Satish Pande and Rishabh Pande under the banner of Comfed Productions and Think Tank Global.,"drama, romantic"
Dukaan,2024,"Dukaan is a 2024 Hindi-language comedy drama film written and directed by Siddharth Singh and Garima Wahal, and produced by S K Ahluwalia, Siddharth Singh, Garima Wahal, and Srujan Yarabolu, under the banner of Waveband Productions and Kalamkaar Picture Productions.","drama, comedy"
Bade Miyan Chote Miyan,2024,Bade Miyan Chote Miyan (transl. Big Mister and Little Mister) is a 2024 Indian Hindi-language science fiction action film directed by Ali Abbas Zafar and produced by Pooja Entertainment and AAZ Films.,"action, science fiction"
Maidaan,2024,"Maidaan (transl. Field) is a 2024 Indian Hindi-language biographical sports drama film co-written and directed by Amit Ravindernath Sharma and produced by Akash Chawla, Arunava Joy Sengupta, Boney Kapoor and Zee Studios.","drama, biographical, sports"
Amar Singh Chamkila,2024,Amar Singh Chamkila is a 2024 Indian Hindi-language biographical drama film based on the life of musician Amar Singh Chamkila.,"drama, biographical"
Ameena,2024,Ameena is an Indian Hindi-language drama action thriller film directed by Kumar Raj and starring Rekha Rana and Anant Mahadevan.,"action, drama, thriller"
Gauraiya Live,2024,"Gauraiya Live is a 2024 Hindi-language drama film directed by Gabriel Vats and produced by Rahul Rangare, Dr. Nishant Jain, Rohit Raj Singh Chouhan and Rajeev Jain under the banner of Rare Films and Tea and Poetry Films.",drama
Silence 2: The Night Owl Bar Shootout,2024,"Silence 2: The Night Owl Bar Shootout is a 2024 Indian Hindi-language mystery thriller film directed by Aban Bharucha Deohans, starring Manoj Bajpayee, Prachi Desai and Parul Gulati (in her Hindi film debut) in lead roles.","thriller, mystery"
Love Sex Aur Dhokha 2,2024,"Love Sex Aur Dhokha 2 (LSD 2) is a 2024 Hindi-language anthology drama film written by Dibakar Banerjee, Shubham, Prateek Vats, and directed by Dibakar Banerjee.","drama, anthology"
Do Aur Do Pyaar,2024,Do Aur Do Pyaar (transl. Two Plus Two Equals Love) is a 2024 Indian Hindi-language romantic comedy film directed by Shirsha Guha Thakurta in her directorial debut.,"comedy, romantic"
Kaam Chalu Hai,2024,"Kaam Chalu Hai (transl. Work is in progress) is a 2024 Indian Hindi-language drama film written and directed by Palash Muchhal, starring Rajpal Yadav, Giaa Manek, and Kurangi Nagraj in the leading roles.",drama
[57],2024,Summary not available,Unknown
Luv You Shankar,2024,Luv You Shankar is a 2024 Indian Hindi-language mythological animated drama film directed by Rajiv S.,drama
The Legacy of Jineshwar,2024,No Wikipedia page available,Unknown
Ruslaan,2024,Ruslaan is a 2024 Indian Hindi-language action film directed by Karan Lalit Butani and produced by Rudrapati Ramana Rao and K.,action
Main Ladega,2024,Main Ladega is a 2024 Hindi-language sport drama film written by Akash Pratap Singh and directed by Gaurav Rana.,drama
Srikanth,2024,"Srikanth is a 2024 Indian Hindi-language biographical film on the life of Srikanth Bolla, a visually-impaired industrialist and the founder of Bollant Industries.",biographical
Tipppsy,2024,Tipppsy (or Tipsy) is a 2024 Indian Hindi-language drama thriller film directed by Deepak Tijori and produced by Raju Chadha.,"drama, thriller"
Kartam Bhugtam,2024,"Kartam Bhugtam is an Indian Hindi-language psychological thriller film, written and directed by Soham P.","thriller, psychological"
Bhaiyya Ji,2024,"Bhaiyaa Ji is a 2024 Indian Hindi-language action thriller film written by Apoorv Singh Karki, who co-wrote it with Deepak Kingrani.","action, thriller"
Mr. & Mrs. Mahi,2024,Mr. & Mrs. Mahi is a 2024 Hindi-language romantic sports drama film directed by Sharan Sharma and produced by Zee Studios and Dharma Productions.,"drama, romantic, sports"
Savi,2024,"Savi is a 2024 Indian Hindi-language action thriller film directed by Abhinay Deo and produced by Mukesh Bhatt, Bhushan Kumar and Krishan Kumar under the banner of Vishesh Films and T-Series Films.","action, thriller"
Chhota Bheem and the Curse of Damyaan,2024,"Chhota Bheem and the Curse of Damyaan is a 2024 Indian Hindi-language children's fantasy action adventure film co-produced and directed by Rajiv Chilaka, written by Niraj Vikram and Sridisha Dilip and produced by Green Gold Studios.","action, fantasy, adventure"
Dedh Bigha Zameen,2024,Dedh Bigha Zameen (transl. One and a half bighas of land) is a 2024 Indian Hindi-language drama film written and directed by Pulkit and produced by Karma Media And Entertainment.,drama
House of Lies,2024,No Wikipedia page available,Unknown
Malhar,2024,"Malhar is an Indian bilingual drama film released in Hindi and Marathi languages directed by Vishal Kumbhar and starring Srinivas Pokale, Sharib Hashmi, Anjali Patil, Rishi Saxena, Vinayak Potdar, Mohammed Samad, and Akshata Acharya.",drama
Bajrang Aur Ali,2024,"Bajrang Aur Ali is a 2024 Indian Hindi-language Social Drama film written and directed by Jaiveer and produced by Suresh Sharma, under UtterUp Films.",drama
Blackout,2024,Blackout is a 2024 Hindi-language comedy thriller film directed by Devang Shashin Bhavsar and produced by Jyoti Deshpande and Niraj Kothari.,"comedy, thriller"
Munjya,2024,"Munjya is a 2024 Indian Hindi-language comedy horror film directed by Aditya Sarpotdar and starring Abhay Verma, Sharvari, Sathyaraj and Mona Singh.","comedy, horror"
Avinash Dhyani,2024,"Avinash Dhyani (born 22 May 1987) is an Indian actor, film director, and writer ,working in the Hindi film industry..",Unknown
Chandu Champion,2024,"Chandu Champion is a 2024 Indian Hindi-language biographical sports drama film written and directed by Kabir Khan and produced by Sajid Nadiadwala, under Nadiadwala Grandson Entertainment.","drama, biographical, sports"
Manihar,2024,"Manihar (English: The Bangle Seller) is a 2024 Indian Hindi-language film, written and directed by Sanjeev Kumar Rajput.",Unknown
Luv Ki Arrange Marriage,2024,Luv Ki Arrange Marriage (transl. Luv's Arranged Marriage) is a 2024 Indian Hindi-language romantic comedy-drama film directed by Ishrat R.,"drama, comedy, romantic"
Ishq Vishk Rebound,2024,Ishq Vishk Rebound is a 2024 Indian Hindi-language romantic comedy-drama film directed by Nipun Dharmadhikari and produced by Ramesh Taurani and Jaya Taurani under Tips Films.,"drama, comedy, romantic"
Maharaj,2024,Maharaj is a 2024 Indian Hindi-language historical drama film directed by Siddharth P.,"drama, historical"
Hamare Baarah,2024,"Hamare Baarah[a] is an Indian Hindi-language drama film directed by Kamal Chandra and produced by Radhika G Film & Newtech Media Entertainment, along with producers Ravi S.",drama
Hemant Pandey,2024,"Hemant Pandey is an Indian film, theatre and television actor, known for his role as Pandeyji in the series Office Office..",Unknown
Jahangir National University,2024,Jahangir National University is a 2024 Indian Hindi-language political drama film directed by Vinay Sharma and produced by Pratima Datta under the banner of Mahakaal Movies Pvt.,"drama, political"
Rautu Ka Raaz,2024,"Rautu Ka Raaz is a 2024 Indian Hindi-language mystery film directed by Anand Surapur and produced by Zee Studios along with Umesh Kr Bansal, Anand Surapur and Chintu Srivastava.",mystery
Sharmajee Ki Beti,2024,"Sharmajee Ki Beti is a 2024 Hindi-language comedy, drama film written and directed by Tahira Kashyap Khurrana, in her directorial debut, under Applause Entertainment and Ellipsis Entertainment, for Amazon Prime Video.","drama, comedy"
Kooki,2024,"Kooki is a 2024 Indian Hindi-language drama film produced by Niri Media Opc Private Limited and starring Ritisha Khaund, Rajesh Tailang, Dipannita Sharma, Devoleena Bhattacharjee and Ritu Shivpuri..",drama
Kill,2024,Summary not available,Unknown
Wild Wild Punjab,2024,Wild Wild Punjab is a 2024 Indian Hindi-language comedy film directed by Simarpreet Singh.,comedy
Sarfira,2024,"Sarfira (transl. Crazy) is a 2024 Indian Hindi-language drama film directed by Sudha Kongara and produced by 2D Entertainment, Abundantia Entertainment and Cape Of Good Films starring Akshay Kumar, Paresh Rawal and Radhika Madan.",drama
Kakuda,2024,"Kakuda is a 2024 Hindi-language comedy horror film directed by Aditya Sarpotdar and produced by Ronnie Screwvala, under RSVP Movies.","comedy, horror"
Bad Newz,2024,Bad Newz is a 2024 Indian Hindi-language comedy film directed by Anand Tiwari.,"comedy, war"
Accident or Conspiracy: Godhra,2024,Accident or Conspiracy: Godhra is a 2024 Indian Hindi-language drama film produced under the banner of OM Trinetra Films and Artverse Studios directed by M.K Shivaaksh.,drama
Bloody Ishq,2024,Bloody Ishq (transl. Bloody Love) is a 2024 Indian Hindi-language horror thriller film directed by Vikram Bhatt and written by Mahesh Bhatt.,"thriller, horror"
Mimoh Chakraborty,2024,"Mahaakshay Chakraborty (born 30 July 1984), also known as Mimoh Chakraborty and Mimoh, is an Indian actor who works in Hindi films.",Unknown
Auron Mein Kahan Dum Tha,2024,Auron Mein Kahan Dum Tha[a] is a 2024 Indian Hindi-language romantic thriller film written and directed by Neeraj Pandey.,"thriller, romantic"
Ulajh,2024,Ulajh (transl. Entangle) is a 2024 Indian Hindi-language spy thriller film directed by Sudhanshu Saria and produced by Junglee Pictures.,thriller
Aliya Basu Gayab Hai,2024,Aliya Basu Gayab Hai is a 2024 Indian Hindi -language film directed by Preeti Singh and produced by Rehab Pictures Private Limited.,Unknown
Phir Aayi Hasseen Dillruba,2024,Phir Aayi Hasseen Dillruba (transl. 'Beautiful beloved is back') is a 2024 Indian Hindi-language romantic thriller film directed by Jayprad Desai and written by Kanika Dhillon.,"thriller, romantic"
Ghudchadi,2024,Ghudchadi (transl. Horse Riding) is a 2024 Indian Hindi-language romantic comedy film directed by Binoy Gandhi and written by Deepak Kapur Bhardwaj.,"comedy, romantic"
Ghuspaithiya,2024,Ghuspaithiya (transl. The Intruder) is a 2024 Indian Hindi-language crime drama film written and directed by Susi Ganesan.,"drama, crime"
Khel Khel Mein,2024,Khel Khel Mein (transl. All in fun and games) is a 2024 Indian Hindi-language comedy drama film written and directed by Mudassar Aziz.,"drama, comedy"
Vedaa,2024,Vedaa is a 2024 Indian Hindi-language action drama film directed by Nikkhil Advani and written by Aseem Arora.,"action, drama"
Stree 2,2024,"Stree 2: Sarkate Ka Aatank (transl. Stree 2: Terror of the Headless) is a 2024 Indian Hindi-language comedy horror film directed by Amar Kaushik, written by Niren Bhatt and produced jointly by Maddock Films and Jio Studios.","comedy, horror"
Tikdam,2024,Tikdam (transl. Trickeries) is a 2024 Indian Hindi-language film directed by Vivek Anchalia.,Unknown
A Wedding Story,2024,A Wedding Story is an Indian Hindi-language supernatural horror film directed by Abhnav Pareek.,horror
Pad Gaye Pange,2024,"Pad Gaye Pange is a 2024 Indian Hindi-language comedy film directed by Santosh Kumar, featuring Samarpan Singh, Rajesh Sharma, Faisal Malik, Rajpal Yadav and Rrajesh Yadav..",comedy
Visfot,2024,Visfot (transl. Explosion) is a 2024 Indian Hindi-language crime thriller film written by Abbas Dalal and Hussain Dalal and directed by Kookie Gulati and produced by Sanjay Gupta and Anuradha Gupta under the banner of White Feather Films.,"thriller, crime"
The Buckingham Murders,2024,The Buckingham Murders is a 2023 Indian crime thriller film directed by Hansal Mehta and starring Kareena Kapoor Khan as a grieving British-Indian detective who is assigned the case of a murdered child in Buckinghamshire.,"thriller, crime"
Sector 36,2024,Sector 36 is 2024 Indian Hindi-language crime thriller film directed by Aditya Nimbalkar and written by Bodhayan Roychaudhury.,"thriller, crime"
Berlin,2024,"Berlin is a 2023 Indian Hindi-language spy thriller film written and directed by Atul Sabharwal, produced by Zee Studios and Yippie Ki Yay Motion Pictures.",thriller
Adbhut,2024,Adbhut is an Indian Hindi-language supernatural horror film written and directed by Sabbir Khan.,horror
Kahan Shuru Kahan Khatam,2024,"Kahan Shuru Kahan Khatam (transl. Where does it begin, where does it end?) is a 2024 Indian Hindi-language romantic comedy film, written by Laxman Utekar and Rishi Virmani, and directed by Saurabh Dasgupta.","comedy, romantic"
Yudhra,2024,Yudhra is a 2024 Indian Hindi-language action thriller film directed by Ravi Udyawar and produced by Excel Entertainment.,"action, thriller, war"
Nasha Jurm Aur Gangsters,2024,This is a list of Hindi cinema films released in 2024..,Unknown
Jo Tera Hai Woh Mera Hai,2024,Jo Tera Hai Woh Mera Hai (transl. What's Yours Is Mine) is a 2024 Indian Hindi-language comedy drama film directed by Raj Trivedi and written by Aditya Rawal.,"drama, comedy"
