Title,Year,Summary,Genre
"Love, Sitara",2024,"Love, Sitara is a 2024 Indian Hindi-language drama film directed by Vandana Kataria.",drama
Binny And Family,2024,"Binny and Family is a 2024 Hindi-language film directed by Ssanjay Tripaathy and produced by Balaji Motion Pictures, Mahaveer Jain Films and Waveband Productions.",family
CTRL,2024,"CTRL is a 2024 Indian Hindi-language screenlife thriller film directed by Vikramaditya Motwane, written by Motwane and Avinash Sampath with dialogues by Sumukhi Suresh.",thriller
Amar Prem Ki Prem Kahani,2024,"Amar Prem Ki Prem Kahani (transl. Amar Prem's Love Story), is a 2024 Indian Hindi-language drama film directed by Hardik Gajjar and written by Rupinder Inderjit.",drama
The Signature,2024,The Signature is a 2024 Hindi-language drama film directed by Gajendra Ahire and produced by K.,drama
Jigra,2024,"Jigra (transl. Courage) is a 2024 Indian Hindi-language action thriller film directed by Vasan Bala, who also co-wrote it with Debashish Irengbam.","action, thriller"
Vicky Vidya Ka Woh Wala Video,2024,Vicky Vidya Ka Woh Wala Video[a] is a 2024 Indian Hindi-language comedy film starring Rajkummar Rao and Triptii Dimri as the titular couple in pursuit of their missing sex tape.,comedy
Aayushmati Geeta Matric Pass,2024,"Aayushmati Geeta Matric Pass is an Indian family drama film starring Kashika Kapoor, Anuj Saini, Alka Amin and Atul Srivastav.","drama, family"
Do Patti,2024,"Do Patti (transl. Two Cards) is a 2024 Indian Hindi-language drama thriller film directed by debutante Shashanka Chaturvedi and written by Kanika Dhillon, who makes her production debut under her venture Kathha Pictures alongside actress Kriti Sanon in her production debut under her venture Blue Butterfly Films.","drama, thriller"
Bandaa Singh Chaudhary,2024,Bandaa Singh Chaudhary is a 2024 Indian Hindi-language action drama film directed by Abhishek Saxena and produced by Arbaaz Khan.,"action, drama"
The Miranda Brothers,2024,The Miranda Brothers is a 2024 Indian Hindi-language sports drama film directed and written by Sanjay Gupta.,"drama, sports"
Navras Katha Collage,2024,Navras Katha Collage is a 2024 Indian Hindi-language drama film written and directed by Praveen Hingonia.,drama
Bhool Bhulaiyaa 3,2024,"Bhool Bhulaiyaa 3 (transl. Labyrinth 3) is a 2024 Indian Hindi-language Horror Comedy film directed by Anees Bazmee, written by Aakash Kaushik, and produced by T-Series Films and Cine1 Studios.","comedy, horror"
Singham Again,2024,"Singham Again is a 2024 Indian Hindi-language action film written and directed by Rohit Shetty, who also co-produced it under Rohit Shetty Picturez, alongside Reliance Entertainment, Jio Studios and Devgn Films.",action
Vijay 69,2024,Vijay 69 is a 2024 Indian Hindi-language drama film directed by Akshay Roy starring Anupam Kher in the titular role alongside Chunky Pandey and Mihir Ahuja.,drama
Isha Talwar,2024,Isha Talwar (born 22 December 1987) is an Indian actress who predominantly works in Malayalam and Hindi films.,war
Khwaabon Ka Jhamela,2024,Khwaabon Ka Jhamela (transl. The Trouble Of Dreams) is a 2024 Indian Hindi-language romantic comedy film directed and written by Danish Aslam.,"comedy, romantic"
The Sabarmati Report,2024,"The Sabarmati Report is a 2024 Indian Hindi-language political drama film, based on true events, written by Avinash and Arjun of a story by Aseem Arrora with direction by Ranjan Chandel, later replaced by Dheeraj Sarna.","drama, political"
Naam,2024,Naam - The Missing Identity (also known as 'Benaam) is a 2024 Indian Hindi-language action thriller film co-written and directed by Anees Bazmee and produced by Anil Roongta.,"action, thriller"
I Want to Talk,2024,"I Want to Talk is a 2024 Indian Hindi-language drama film directed by Shoojit Sircar, written by Ritesh Shah and produced by Rising Sun Films and Kino Works.",drama
Sikandar Ka Muqaddar,2024,"Sikandar Ka Muqaddar (transl. The Fate of Sikandar) is a 2024 Indian Hindi-language heist thriller film directed by Neeraj Pandey, starring Jimmy Sheirgill, Avinash Tiwary, Tamannaah Bhatia, Rajeev Mehta and Divya Dutta.","thriller, war"
Agni,2024,Agni is a 2024 Indian Hindi-language action thriller written and directed by Rahul Dholakia.,"action, thriller"
Zero Se Restart,2024,Zero se Restart is an Indian Hindi-language Drama film.,drama
Despatch,2024,Despatch is an Indian Hindi-language crime drama film directed by Kanu Behl.,"drama, crime"
Vanvaas,2024,Vanvaas (lit. Exile) is a 2024 Indian Hindi-language family drama film directed by Anil Sharma.,"drama, family"
Sharmila Tagore,2024,"Sharmila Tagore (Bengali: [ʃɔɾˈmila ˈʈʰakuɾ] ⓘ; born 8 December 1944) also known by her married name Begum Ayesha Sultana, is an Indian actress primarily known for her work in Hindi and Bengali films.",Unknown
Baby John,2024,Baby John is a 2024 Indian Hindi-language action thriller film directed by Kalees.,"action, thriller"
Kisko Tha Pata,2024,No Wikipedia page available,Unknown
Chhaava,2025,"Chhaava (transl. Lion cub) is a 2025 Indian Hindi-language historical action film based on the life of Sambhaji Maharaj, the second ruler of the Maratha Empire, who is played by Vicky Kaushal.","action, historical"
Raid 2,2025,Raid 2 is a 2025 Indian Hindi-language crime thriller film directed by Raj Kumar Gupta.,"thriller, crime"
Sikandar,2025,Sikandar is a 2025 Indian Hindi-language action drama film written and directed by A.,"action, drama"
Sky Force,2025,Sky Force is a 2025 Indian Hindi-language action drama film centred around India's first airstrike at the Sargodha airbase of Pakistan in the Indo-Pakistani air war of 1965.,"action, drama, war"
Kesari Chapter 2,2025,"Kesari Chapter 2: The Untold Story of Jallianwala Bagh is a 2025 Indian Hindi-language historical courtroom drama film directed by Karan Singh Tyagi and produced by Dharma Productions, Leo Media Collective, and Cape of Good Films.","drama, historical"
Jaat,2025,"Jaat is a 2025 Indian Hindi-language action thriller film written and directed by Gopichand Malineni (in his Hindi film debut), and produced by Mythri Movie Makers and People Media Factory.","action, thriller"
Bhool Chuk Maaf,2025,"Bhool Chuk Maaf (transl. Forgive my mistakes) is a 2025 Indian Hindi-language fantasy romantic comedy film written and directed by Karan Sharma, and produced by Dinesh Vijan under Maddock Films, in association with Amazon MGM Studios.","comedy, romantic, fantasy"
Housefull 5,2025,"Housefull 5 is a 2025 Hindi-language Indian comedy thriller film co-written and directed by Tarun Mansukhani and produced by Sajid Nadiadwala, Warda Nadiadwala and Firuzi Khan under production banner Nadiadwala Grandson Entertainment.","comedy, thriller, war"
The Diplomat,2025,The Diplomat is a 2025 Indian Hindi-language political thriller film directed by Shivam Nair and written by Ritesh Shah.,"thriller, political"
Deva,2025,"Deva is a 2025 Indian Hindi-language action thriller film directed by Rosshan Andrrews, and produced by Siddharth Roy Kapur under Roy Kapur Films.","action, thriller"
The Rabbit House,2025,The Rabbit House is a 2025 Indian Hindi-language thriller suspense film written and directed by Vaibhav Kulkarni.,thriller
Fateh,2025,Fateh is a 2025 Indian action thriller film written and directed by Sonu Sood in his directorial debut.,"action, thriller"
Match Fixing,2025,Match Fixing: The Nation At Stake is an Indian Hindi-language political thriller film directed by Kedar Gaekwad and produced by Pallavi Gurjar under ArtArena Creations Pvt.,"thriller, political"
Emergency,2025,"Emergency is a 2025 Indian Hindi-language historical biographical drama film directed and co-produced by Kangana Ranaut, based on a screenplay by Ritesh Shah and story written by Ranaut.","drama, biographical, historical"
Azaad,2025,Azaad (transl. Free) is a 2025 Indian Hindi-language period action drama film directed by Abhishek Kapoor and produced by Ronnie Screwvala and Pragya Kapoor.,"action, drama"
Mission Grey House,2025,Mission Grey House is a 2025 Indian suspense thriller film released in theatres on 17 January 2025..,thriller
Hisaab Barabar,2025,Hisaab Barabar is a 2024 Indian Hindi-language satirical thriller film written and directed by Ashwni Dhir.,thriller
Sky Force,2025,Sky Force is a 2025 Indian Hindi-language action drama film centred around India's first airstrike at the Sargodha airbase of Pakistan in the Indo-Pakistani air war of 1965.,"action, drama, war"
Sweet Dreams,2025,Sweet Dreams is a 2025 Indian Hindi-language romantic drama film written and directed by Victor Mukherjee.,"drama, romantic"
The Storyteller,2025,The Storyteller is a 2022 Indian Hindi-language drama film directed by Ananth Mahadevan and written by filmmaker Kireet Khurana.,drama
Deva,2025,"Deva is a 2025 Indian Hindi-language action thriller film directed by Rosshan Andrrews, and produced by Siddharth Roy Kapur under Roy Kapur Films.","action, thriller"
Loveyapa,2025,Loveyapa is a 2025 Indian Hindi-language romantic comedy film directed by Advait Chandan.,"comedy, romantic"
Badass Ravi Kumar,2025,Badass Ravi Kumar is a 2025 Indian Hindi-language musical action film directed by Keith Gomes in his feature film directorial debut and produced by Himesh Reshammiya Melodies.,"action, musical"
Mrs.,2025,Mrs. is a 2024 Indian Hindi-language drama film which is a remake of the 2021 Malayalam film The Great Indian Kitchen.,drama
The Mehta Boys,2025,The Mehta Boys is a 2025 Indian Hindi-language drama film about a troubled father-son relationship.,drama
Bobby Aur Rishi Ki Love Story,2025,Bobby Aur Rishi Ki Love Story is a 2025 Indian Hindi-language romantic comedy film directed by Kunal Kohli.,"comedy, romantic"
Chhaava,2025,"Chhaava (transl. Lion cub) is a 2025 Indian Hindi-language historical action film based on the life of Sambhaji Maharaj, the second ruler of the Maratha Empire, who is played by Vicky Kaushal.","action, historical"
Dhoom Dhaam,2025,Dhoom Dhaam (transl. Fanfare) is a 2025 Indian Hindi-language romantic action comedy film starring Yami Gautam Dhar and Pratik Gandhi.,"action, comedy, romantic"
Mere Husband Ki Biwi,2025,"Mere Husband Ki Biwi (transl. My husband's wife), is a 2025 Indian Hindi-language romantic comedy film written and directed by Mudassar Aziz and produced by Vashu Bhagnani, Jackky Bhagnani and Deepshikha Deshmukh under their banner Pooja Entertainment.","comedy, romantic"
Kaushaljis vs Kaushal,2025,Kaushaljis vs Kaushal is a 2025 Indian Hindi-language family drama film directed by Seemaa Desai.,"drama, family"
Shaila,2025,Shaila is a 2025 Indian Hindi-language romantic drama film directed by Saki Shah and produced by Riyom Films..,"drama, romantic"
Crazxy,2025,"Crazxy is a 2025 Indian Hindi-language thriller film written and directed by Girish Kohli in his directorial debut and produced by Sohum Shah, Mukesh Shah, Amita Shah and Adesh Prasad and co-produced by Ankit Jain under Sohum Shah Films.",thriller
Superboys of Malegaon,2025,Superboys of Malegaon is a 2024 Indian Hindi-language coming-of-age drama film directed by Reema Kagti and written by Varun Grover.,drama
Dil Dosti Aur Dogs,2025,No Wikipedia page available,Unknown
Nadaaniyan,2025,"Nadaaniyan (transl. Innocence) is a 2025 Indian Hindi-language teen romantic comedy film directed by Shauna Gautam (in her directorial debut) and produced by Karan Johar, Apoorva Mehta and Somen Mishra under Dharmatic Entertainment.","comedy, romantic"
The Diplomat,2025,The Diplomat is a 2025 Indian Hindi-language political thriller film directed by Shivam Nair and written by Ritesh Shah.,"thriller, political"
My Melbourne,2025,"My Melbourne is an anthology film featuring four stories about identity and belonging, inspired by true incidents in Melbourne, Australia.",anthology
Be Happy,2025,Be Happy is a 2025 Indian Hindi-language dance drama film written and directed by Remo D'Souza.,"drama, dance"
Inn Galiyon Mein,2025,"Inn Galiyon Mein (transl. In these alleys) is an upcoming Indian Hindi-language romantic comedy and crime drama and action thriller film directed by Avinash Das and produced by Neeru Yadav and Vinod Yadav under Yadunath Films and co produced by Sanjeevv Gosswami, Alcor Productions and Adarsh Saxena.","action, drama, comedy, thriller, romantic, crime"
Aachari Baa,2025,Aachari Baa is a 2025 Indian Hindi-language family drama film directed by Hardik Gajjar and produced by Jio Studios in association with Hardik Gajjar Films and Backbencher Pictures.,"drama, family"
Baida,2025,Baida is a 2025 Indian Hindi-language sci-fi supernatural thriller film directed by Puneet Sharma and written by Sudhanshu Rai.,"thriller, sci-fi"
Tumko Meri Kasam,2025,"Tumko Meri Kasam (transl. I swear to you) is an Indian Hindi-language drama film written and directed by Vikram Bhatt, inspired by the life of Dr. Ajay Murdia, the founder of Indira IVF.",drama
Pintu Ki Pappi,2025,Pintu Ki Pappi is a 2025 Indian Hindi-language romantic comedy film directed by Shiv Hare.,"comedy, romantic"
Sikandar,2025,Sikandar is a 2025 Indian Hindi-language action drama film written and directed by A.,"action, drama"
Jaat,2025,"Jaat is a 2025 Indian Hindi-language action thriller film written and directed by Gopichand Malineni (in his Hindi film debut), and produced by Mythri Movie Makers and People Media Factory.","action, thriller"
Chhorii 2,2025,"Chhorii 2 (transl. Girl 2) is a 2025 Indian Hindi-language horror film directed by Vishal Furia and produced by Bhushan Kumar, Krishan Kumar, Vikram Malhotra and Jack Davis.",horror
Kesari Chapter 2,2025,"Kesari Chapter 2: The Untold Story of Jallianwala Bagh is a 2025 Indian Hindi-language historical courtroom drama film directed by Karan Singh Tyagi and produced by Dharma Productions, Leo Media Collective, and Cape of Good Films.","drama, historical"
Logout,2025,"Logout is a 2025 Indian Hindi-language cyber thriller drama film starring Babil Khan, which is also a sharp critique on our dependence on smartphones.","drama, thriller"
Ground Zero,2025,"Ground Zero is a 2025 Indian Hindi-language action thriller film directed by Tejas Prabha Vijay Deoskar and produced by Ritesh Sidhwani and Farhan Akhtar, under Excel Entertainment.","action, thriller"
Jewel Thief – The Heist Begins,2025,Jewel Thief – The Heist Begins is a 2025 Indian Hindi-language heist action thriller film directed by Kookie Gulati and Robbie Grewal.,"action, thriller"
Phule,2025,Phule is a 2025 Indian Hindi-language Biographical film directed by Anant Mahadevan and produced by Dancing Shiva Films Kingsmen Productions Films and Zee Studios.,biographical
Oye Bhootni Ke,2025,No Wikipedia page available,Unknown
Raid 2,2025,Raid 2 is a 2025 Indian Hindi-language crime thriller film directed by Raj Kumar Gupta.,"thriller, crime"
The Bhootnii,2025,"The Bhootnii (transl. The Ghostess) a 2025 Indian Hindi-language comedy horror film written and directed by Sidhaant Sachdev, and produced by Deepak Mukut and Sanjay Dutt.","comedy, horror"
Costao,2025,Costao is a 2025 Indian Hindi-language biographical crime drama film directed by Sejal Shah.,"drama, biographical, crime"
Vikram Kochhar,2025,Vikram Kochhar is an Indian actor known for his roles in Indian television and Hindi cinema.,Unknown
Romeo S3,2025,Romeo S3 is a 2025 Hindi-language film directed by Guddu Dhanoa.,Unknown
Bhool Chuk Maaf,2025,"Bhool Chuk Maaf (transl. Forgive my mistakes) is a 2025 Indian Hindi-language fantasy romantic comedy film written and directed by Karan Sharma, and produced by Dinesh Vijan under Maddock Films, in association with Amazon MGM Studios.","comedy, romantic, fantasy"
Kapkapiii,2025,Kapkapiii is a 2025 Indian Hindi-language horror-comedy film directed by Sangeeth Sivan and produced by Jayesh Patel.,"comedy, horror"
Pune Highway,2025,"Pune Highway is a 2024 Indian Hindi-language thriller film directed by Bugs Bhargava Krishna and Rahul da Cunha, and produced by Rahul da Cunha and Seema Mohapatra.",thriller
Kesari Veer,2025,Kesari Veer is a 2025 Indian Hindi-language historical action film directed by Prince Dhiman.,"action, historical"
Chidiya,2025,Chidiya is a 2025 Hindi-language drama film directed by Mehran Amrohi and produced by Faqhrul Husaini under the banner of Smiley Films in association with Key Media Works.,drama
Interrogation,2025,Interrogation(Hindi: पूछताछ) is a 2025 Indian Hindi-language suspense thriller film directed by Ajoy Varma Raja.,thriller
Stolen,2025,"Stolen is a 2025 Indian Hindi-language social thriller film directed by Karan Tejpal, premiered on Amazon Prime Video on 4 June 2025.",thriller
Housefull 5,2025,"Housefull 5 is a 2025 Hindi-language Indian comedy thriller film co-written and directed by Tarun Mansukhani and produced by Sajid Nadiadwala, Warda Nadiadwala and Firuzi Khan under production banner Nadiadwala Grandson Entertainment.","comedy, thriller, war"
Sitaare Zameen Par,2025,"Sitaare Zameen Par (lit. 'Stars on Earth'), is an upcoming Indian Hindi-language sports comedy drama film directed by R.","drama, comedy, sports"
Kuberaa,2025,Kuberaa is an upcoming Indian social thriller film directed and co-written by Sekhar Kammula.,thriller
Detective Sherdil,2025,No Wikipedia page available,Unknown
Maa,2025,Maa (transl. Mother) is an upcoming Indian Hindi-language mythological horror film directed by Vishal Furia.,horror
Gyanvapi Files,2025,No Wikipedia page available,Unknown
Nikita Roy,2025,No Wikipedia page available,Unknown
Metro... In Dino,2025,"In Dino (transl. Metro... Nowadays) is an upcoming Indian Hindi-language comedy-drama film written and directed by Anurag Basu, and produced by T-Series Films and Anurag Basu Productions.","drama, comedy"
Maalik,2025,Maalik (transl. Boss) is an upcoming Indian Hindi-language gangster action thriller film directed by Pulkit and produced by Kumar Taurani and Jay Shewakramani.,"action, thriller"
Aankhon Ki Gustaakhiyan,2025,Aankhon Ki Gustaakhiyan (lit. transl. Eyes' Impudence) is an upcoming Indian Hindi-language romantic drama film directed by Santosh Singh and produced by Mansi Bagla and Varun Bagla under Zee Studios and Mini Films.,"drama, romantic"
Mohit Suri,2025,Mohit Suri (born 11 April 1981) is an Indian film director.,Unknown
Tanvi the Great,2025,Tanvi The Great is an upcoming Hindi-language drama film directed by Anupam Kher.,drama
Param Sundari,2025,Param Sundari (transl. Eternal beauty) is an upcoming Indian Hindi-language romantic comedy film directed by Tushar Jalota and produced by Dinesh Vijan under Maddock Films.,"comedy, romantic"
Dhadak 2,2025,"Dhadak 2 (lit. 'Heartbeat 2') is an upcoming Indian Hindi-language romantic drama film written and directed by Shazia Iqbal and produced by Dharma Productions, Zee Studios and Cloud 9 Pictures.","drama, romantic"
War 2,2025,"YRF Spy Universe is an Indian media franchise and shared universe centered on a series of spy action films, which feature various fictional RAW agents.",action
Vivek Agnihotri,2025,"Vivek Ranjan Agnihotri (born 10 November 1973) is an Indian director, producer, and writer who works in Hindi cinema.",Unknown
A. Harsha,2025,Harsha (born 24 August 1980) is an Indian film director and choreographer who works in Kannada cinema.,Unknown
Shashank Khaitan,2025,"Shashank Khaitan is an Indian film writer, director, actor and producer who works in Hindi films.",Unknown
Jolly LLB 3,2025,Jolly LLB 3 is an upcoming Indian Hindi-language black comedy legal drama film written and directed by Subhash Kapoor.,"drama, comedy"
Vikram Bhatt,2025,"Vikram Bhatt is an Indian director, producer, screenwriter and actor.",Unknown
Sriram Raghavan,2025,Sriram Raghavan (born 22 June 1963) is an Indian film director and screenwriter who works in Hindi cinema.,Unknown
Ek Deewane ki Deewaniyat,2025,No Wikipedia page available,Unknown
Aditya Sarpotdar,2025,Aditya Sarpotdar is an Indian director and costume designer best known for the 2015 film Classmates.,Unknown
Untitled film,2025,No Wikipedia page available,Unknown
De De Pyaar De 2,2025,De De Pyaar De (transl. Give me love) is a 2019 Indian Hindi-language romantic comedy film written by Luv Ranjan and directed by Akiv Ali in his directorial debut.,"comedy, romantic"
Farhan Akhtar,2025,"Farhan Akhtar (born 9 January 1974) is an Indian actor, filmmaker and singer who works in Hindi films.",Unknown
Aanand L. Rai,2025,"Rai (born 1970/1971) is an Indian film director and producer known for directing the romantic comedy-dramas Tanu Weds Manu (2011) and its sequel Tanu Weds Manu Returns (2015), and the romantic drama Raanjhanaa (2013), with the latter two earning him nominations for the Filmfare Award for Best Director..","drama, comedy, romantic, war"
Vishal Bhardwaj,2025,"Vishal Bhardwaj (born 4 August 1965) is an Indian filmmaker, music composer, and playback singer.",Unknown
Alia Bhatt,2025,Alia Bhatt (/ˈɑːliə ˈbʌt/; born 15 March 1993) is a British actress of Indian descent who predominantly works in Hindi films.,Unknown
Adivi Sesh,2025,"Adivi Sesh Sunny Chandra (born 17 December 1984) is an Indian actor, director and screenwriter who works in Telugu cinema.",Unknown
Maddock Films,2025,Maddock Films is an Indian film production company founded by Indian producer and director Dinesh Vijan in 2005.,Unknown
